kategori,hiragana,katakana,romaji,arti_id,arti_en,tipe,polite,catatan,contoh_jp,contoh_en,contoh_id
emosi,りんごてき,ー,ringoteki,りんごてき_id,りんごてき_en,noun,ー,compound_的,りんごてきはよくつかわれます。,りんごてき is commonly used.,りんごてき sering digunakan.
keluarga,りんごか,ー,ringoka,りんごか_id,りんごか_en,noun,ー,compound_化,りんごかはよくつかわれます。,りんごか is commonly used.,りんごか sering digunakan.
teknologi,りんごかん,ー,ringokan,りんごかん_id,りんごかん_en,noun,ー,compound_感,りんごかんはよくつかわれます。,りんごかん is commonly used.,りんごかん sering digunakan.
benda,りんごがく,ー,ringogaku,りんごがく_id,りんごがく_en,noun,ー,compound_学,りんごがくはよくつかわれます。,りんごがく is commonly used.,りんごがく sering digunakan.
tempat,ごはんや,ー,gohanya,ごはんや_id,ごはんや_en,noun,ー,compound_屋,ごはんやはよくつかわれます。,ごはんや is commonly used.,ごはんや sering digunakan.
numbers,ごはんみせ,ー,gohanmise,ごはんみせ_id,ごはんみせ_en,noun,ー,compound_店,ごはんみせはよくつかわれます。,ごはんみせ is commonly used.,ごはんみせ sering digunakan.
kata tanya,ごはんしゃ,ー,gohansha,ごはんしゃ_id,ごはんしゃ_en,noun,ー,compound_者,ごはんしゃはよくつかわれます。,ごはんしゃ is commonly used.,ごはんしゃ sering digunakan.
ekspresi,ごはんてき,ー,gohanteki,ごはんてき_id,ごはんてき_en,noun,ー,compound_的,ごはんてきはよくつかわれます。,ごはんてき is commonly used.,ごはんてき sering digunakan.
kata serapan,ごはんか,ー,gohanka,ごはんか_id,ごはんか_en,noun,ー,compound_化,ごはんかはよくつかわれます。,ごはんか is commonly used.,ごはんか sering digunakan.
negara,ごはんかん,ー,gohankan,ごはんかん_id,ごはんかん_en,noun,ー,compound_感,ごはんかんはよくつかわれます。,ごはんかん is commonly used.,ごはんかん sering digunakan.
makanan,ごはんがく,ー,gohangaku,ごはんがく_id,ごはんがく_en,noun,ー,compound_学,ごはんがくはよくつかわれます。,ごはんがく is commonly used.,ごはんがく sering digunakan.
warna,ほんや,ー,honya,ほんや_id,ほんや_en,noun,ー,compound_屋,ほんやはよくつかわれます。,ほんや is commonly used.,ほんや sering digunakan.
ekspresi,ほんみせ,ー,honmise,ほんみせ_id,ほんみせ_en,noun,ー,compound_店,ほんみせはよくつかわれます。,ほんみせ is commonly used.,ほんみせ sering digunakan.
tumbuhan,ほんしゃ,ー,honsha,ほんしゃ_id,ほんしゃ_en,noun,ー,compound_者,ほんしゃはよくつかわれます。,ほんしゃ is commonly used.,ほんしゃ sering digunakan.
teknologi,ほんてき,ー,honteki,ほんてき_id,ほんてき_en,noun,ー,compound_的,ほんてきはよくつかわれます。,ほんてき is commonly used.,ほんてき sering digunakan.
kata benda abstrak,ほんか,ー,honka,ほんか_id,ほんか_en,noun,ー,compound_化,ほんかはよくつかわれます。,ほんか is commonly used.,ほんか sering digunakan.
frasa umum,ほんかん,ー,honkan,ほんかん_id,ほんかん_en,noun,ー,compound_感,ほんかんはよくつかわれます。,ほんかん is commonly used.,ほんかん sering digunakan.
warna,ほんがく,ー,hongaku,ほんがく_id,ほんがく_en,noun,ー,compound_学,ほんがくはよくつかわれます。,ほんがく is commonly used.,ほんがく sering digunakan.
ekspresi formal,つくえや,ー,tsukueya,つくえや_id,つくえや_en,noun,ー,compound_屋,つくえやはよくつかわれます。,つくえや is commonly used.,つくえや sering digunakan.
hewan,つくえみせ,ー,tsukuemise,つくえみせ_id,つくえみせ_en,noun,ー,compound_店,つくえみせはよくつかわれます。,つくえみせ is commonly used.,つくえみせ sering digunakan.
darurat,つくえしゃ,ー,tsukuesha,つくえしゃ_id,つくえしゃ_en,noun,ー,compound_者,つくえしゃはよくつかわれます。,つくえしゃ is commonly used.,つくえしゃ sering digunakan.
kata tanya,つくえてき,ー,tsukueteki,つくえてき_id,つくえてき_en,noun,ー,compound_的,つくえてきはよくつかわれます。,つくえてき is commonly used.,つくえてき sering digunakan.
alat,つくえか,ー,tsukueka,つくえか_id,つくえか_en,noun,ー,compound_化,つくえかはよくつかわれます。,つくえか is commonly used.,つくえか sering digunakan.
teknologi,つくえかん,ー,tsukuekan,つくえかん_id,つくえかん_en,noun,ー,compound_感,つくえかんはよくつかわれます。,つくえかん is commonly used.,つくえかん sering digunakan.
kata sambung,つくえがく,ー,tsukuegaku,つくえがく_id,つくえがく_en,noun,ー,compound_学,つくえがくはよくつかわれます。,つくえがく is commonly used.,つくえがく sering digunakan.
kata serapan,おとうさんや,ー,otousanya,おとうさんや_id,おとうさんや_en,noun,ー,compound_屋,おとうさんやはよくつかわれます。,おとうさんや is commonly used.,おとうさんや sering digunakan.
emosi,おとうさんみせ,ー,otousanmise,おとうさんみせ_id,おとうさんみせ_en,noun,ー,compound_店,おとうさんみせはよくつかわれます。,おとうさんみせ is commonly used.,おとうさんみせ sering digunakan.
angka,おとうさんしゃ,ー,otousansha,おとうさんしゃ_id,おとうさんしゃ_en,noun,ー,compound_者,おとうさんしゃはよくつかわれます。,おとうさんしゃ is commonly used.,おとうさんしゃ sering digunakan.
waktu,おとうさんてき,ー,otousanteki,おとうさんてき_id,おとうさんてき_en,noun,ー,compound_的,おとうさんてきはよくつかわれます。,おとうさんてき is commonly used.,おとうさんてき sering digunakan.
negara,おとうさんか,ー,otousanka,おとうさんか_id,おとうさんか_en,noun,ー,compound_化,おとうさんかはよくつかわれます。,おとうさんか is commonly used.,おとうさんか sering digunakan.
olahraga,おとうさんかん,ー,otousankan,おとうさんかん_id,おとうさんかん_en,noun,ー,compound_感,おとうさんかんはよくつかわれます。,おとうさんかん is commonly used.,おとうさんかん sering digunakan.
emosi,おとうさんがく,ー,otousangaku,おとうさんがく_id,おとうさんがく_en,noun,ー,compound_学,おとうさんがくはよくつかわれます。,おとうさんがく is commonly used.,おとうさんがく sering digunakan.
sifat,あかや,ー,akaya,あかや_id,あかや_en,noun,ー,compound_屋,あかやはよくつかわれます。,あかや is commonly used.,あかや sering digunakan.
tumbuhan,あかみせ,ー,akamise,あかみせ_id,あかみせ_en,noun,ー,compound_店,あかみせはよくつかわれます。,あかみせ is commonly used.,あかみせ sering digunakan.
olahraga,あかしゃ,ー,akasha,あかしゃ_id,あかしゃ_en,noun,ー,compound_者,あかしゃはよくつかわれます。,あかしゃ is commonly used.,あかしゃ sering digunakan.
tempat,あかてき,ー,akateki,あかてき_id,あかてき_en,noun,ー,compound_的,あかてきはよくつかわれます。,あかてき is commonly used.,あかてき sering digunakan.
ekspresi,あかか,ー,akaka,あかか_id,あかか_en,noun,ー,compound_化,あかかはよくつかわれます。,あかか is commonly used.,あかか sering digunakan.
pakaian,あかかん,ー,akakan,あかかん_id,あかかん_en,noun,ー,compound_感,あかかんはよくつかわれます。,あかかん is commonly used.,あかかん sering digunakan.
tempat,あかがく,ー,akagaku,あかがく_id,あかがく_en,noun,ー,compound_学,あかがくはよくつかわれます。,あかがく is commonly used.,あかがく sering digunakan.
musik,きょうや,ー,kyouya,きょうや_id,きょうや_en,noun,ー,compound_屋,きょうやはよくつかわれます。,きょうや is commonly used.,きょうや sering digunakan.
musik,きょうみせ,ー,kyoumise,きょうみせ_id,きょうみせ_en,noun,ー,compound_店,きょうみせはよくつかわれます。,きょうみせ is commonly used.,きょうみせ sering digunakan.
frasa umum,きょうしゃ,ー,kyousha,きょうしゃ_id,きょうしゃ_en,noun,ー,compound_者,きょうしゃはよくつかわれます。,きょうしゃ is commonly used.,きょうしゃ sering digunakan.
tubuh manusia,きょうてき,ー,kyouteki,きょうてき_id,きょうてき_en,noun,ー,compound_的,きょうてきはよくつかわれます。,きょうてき is commonly used.,きょうてき sering digunakan.
makanan,きょうか,ー,kyouka,きょうか_id,きょうか_en,noun,ー,compound_化,きょうかはよくつかわれます。,きょうか is commonly used.,きょうか sering digunakan.
kata kerja bantu,きょうかん,ー,kyoukan,きょうかん_id,きょうかん_en,noun,ー,compound_感,きょうかんはよくつかわれます。,きょうかん is commonly used.,きょうかん sering digunakan.
kata tanya,きょうがく,ー,kyougaku,きょうがく_id,きょうがく_en,noun,ー,compound_学,きょうがくはよくつかわれます。,きょうがく is commonly used.,きょうがく sering digunakan.
pekerjaan,がっこうや,ー,gakkouya,がっこうや_id,がっこうや_en,noun,ー,compound_屋,がっこうやはよくつかわれます。,がっこうや is commonly used.,がっこうや sering digunakan.
pakaian,がっこうみせ,ー,gakkoumise,がっこうみせ_id,がっこうみせ_en,noun,ー,compound_店,がっこうみせはよくつかわれます。,がっこうみせ is commonly used.,がっこうみせ sering digunakan.
ekspresi,がっこうしゃ,ー,gakkousha,がっこうしゃ_id,がっこうしゃ_en,noun,ー,compound_者,がっこうしゃはよくつかわれます。,がっこうしゃ is commonly used.,がっこうしゃ sering digunakan.
ekspresi formal,がっこうてき,ー,gakkouteki,がっこうてき_id,がっこうてき_en,noun,ー,compound_的,がっこうてきはよくつかわれます。,がっこうてき is commonly used.,がっこうてき sering digunakan.
transportasi,がっこうか,ー,gakkouka,がっこうか_id,がっこうか_en,noun,ー,compound_化,がっこうかはよくつかわれます。,がっこうか is commonly used.,がっこうか sering digunakan.
kesehatan,がっこうかん,ー,gakkoukan,がっこうかん_id,がっこうかん_en,noun,ー,compound_感,がっこうかんはよくつかわれます。,がっこうかん is commonly used.,がっこうかん sering digunakan.
belanja,がっこうがく,ー,gakkougaku,がっこうがく_id,がっこうがく_en,noun,ー,compound_学,がっこうがくはよくつかわれます。,がっこうがく is commonly used.,がっこうがく sering digunakan.
pendidikan,でんしゃや,ー,denshaya,でんしゃや_id,でんしゃや_en,noun,ー,compound_屋,でんしゃやはよくつかわれます。,でんしゃや is commonly used.,でんしゃや sering digunakan.
ekspresi kasual,でんしゃみせ,ー,denshamise,でんしゃみせ_id,でんしゃみせ_en,noun,ー,compound_店,でんしゃみせはよくつかわれます。,でんしゃみせ is commonly used.,でんしゃみせ sering digunakan.
hewan,でんしゃしゃ,ー,denshasha,でんしゃしゃ_id,でんしゃしゃ_en,noun,ー,compound_者,でんしゃしゃはよくつかわれます。,でんしゃしゃ is commonly used.,でんしゃしゃ sering digunakan.
aktivitas,でんしゃてき,ー,denshateki,でんしゃてき_id,でんしゃてき_en,noun,ー,compound_的,でんしゃてきはよくつかわれます。,でんしゃてき is commonly used.,でんしゃてき sering digunakan.
makanan,でんしゃか,ー,denshaka,でんしゃか_id,でんしゃか_en,noun,ー,compound_化,でんしゃかはよくつかわれます。,でんしゃか is commonly used.,でんしゃか sering digunakan.
directions,でんしゃかん,ー,denshakan,でんしゃかん_id,でんしゃかん_en,noun,ー,compound_感,でんしゃかんはよくつかわれます。,でんしゃかん is commonly used.,でんしゃかん sering digunakan.
teknologi,でんしゃがく,ー,denshagaku,でんしゃがく_id,でんしゃがく_en,noun,ー,compound_学,でんしゃがくはよくつかわれます。,でんしゃがく is commonly used.,でんしゃがく sering digunakan.
transportasi,ねこや,ー,nekoya,ねこや_id,ねこや_en,noun,ー,compound_屋,ねこやはよくつかわれます。,ねこや is commonly used.,ねこや sering digunakan.
ekspresi,ねこみせ,ー,nekomise,ねこみせ_id,ねこみせ_en,noun,ー,compound_店,ねこみせはよくつかわれます。,ねこみせ is commonly used.,ねこみせ sering digunakan.
teknologi,ねこしゃ,ー,nekosha,ねこしゃ_id,ねこしゃ_en,noun,ー,compound_者,ねこしゃはよくつかわれます。,ねこしゃ is commonly used.,ねこしゃ sering digunakan.
tempat,ねこてき,ー,nekoteki,ねこてき_id,ねこてき_en,noun,ー,compound_的,ねこてきはよくつかわれます。,ねこてき is commonly used.,ねこてき sering digunakan.
pakaian,ねこか,ー,nekoka,ねこか_id,ねこか_en,noun,ー,compound_化,ねこかはよくつかわれます。,ねこか is commonly used.,ねこか sering digunakan.
emosi,ねこかん,ー,nekokan,ねこかん_id,ねこかん_en,noun,ー,compound_感,ねこかんはよくつかわれます。,ねこかん is commonly used.,ねこかん sering digunakan.
kata kerja bantu,ねこがく,ー,nekogaku,ねこがく_id,ねこがく_en,noun,ー,compound_学,ねこがくはよくつかわれます。,ねこがく is commonly used.,ねこがく sering digunakan.
kesehatan,いぬや,ー,inuya,いぬや_id,いぬや_en,noun,ー,compound_屋,いぬやはよくつかわれます。,いぬや is commonly used.,いぬや sering digunakan.
pendidikan,いぬみせ,ー,inumise,いぬみせ_id,いぬみせ_en,noun,ー,compound_店,いぬみせはよくつかわれます。,いぬみせ is commonly used.,いぬみせ sering digunakan.
waktu,いぬしゃ,ー,inusha,いぬしゃ_id,いぬしゃ_en,noun,ー,compound_者,いぬしゃはよくつかわれます。,いぬしゃ is commonly used.,いぬしゃ sering digunakan.
pendidikan,いぬてき,ー,inuteki,いぬてき_id,いぬてき_en,noun,ー,compound_的,いぬてきはよくつかわれます。,いぬてき is commonly used.,いぬてき sering digunakan.
musik,いぬか,ー,inuka,いぬか_id,いぬか_en,noun,ー,compound_化,いぬかはよくつかわれます。,いぬか is commonly used.,いぬか sering digunakan.
tumbuhan,いぬかん,ー,inukan,いぬかん_id,いぬかん_en,noun,ー,compound_感,いぬかんはよくつかわれます。,いぬかん is commonly used.,いぬかん sering digunakan.
directions,いぬがく,ー,inugaku,いぬがく_id,いぬがく_en,noun,ー,compound_学,いぬがくはよくつかわれます。,いぬがく is commonly used.,いぬがく sering digunakan.
emosi,あめや,ー,ameya,あめや_id,あめや_en,noun,ー,compound_屋,あめやはよくつかわれます。,あめや is commonly used.,あめや sering digunakan.
numbers,あめみせ,ー,amemise,あめみせ_id,あめみせ_en,noun,ー,compound_店,あめみせはよくつかわれます。,あめみせ is commonly used.,あめみせ sering digunakan.
darurat,あめしゃ,ー,amesha,あめしゃ_id,あめしゃ_en,noun,ー,compound_者,あめしゃはよくつかわれます。,あめしゃ is commonly used.,あめしゃ sering digunakan.
aktivitas,あめてき,ー,ameteki,あめてき_id,あめてき_en,noun,ー,compound_的,あめてきはよくつかわれます。,あめてき is commonly used.,あめてき sering digunakan.
frasa umum,あめか,ー,ameka,あめか_id,あめか_en,noun,ー,compound_化,あめかはよくつかわれます。,あめか is commonly used.,あめか sering digunakan.
kesehatan,あめかん,ー,amekan,あめかん_id,あめかん_en,noun,ー,compound_感,あめかんはよくつかわれます。,あめかん is commonly used.,あめかん sering digunakan.
waktu,あめがく,ー,amegaku,あめがく_id,あめがく_en,noun,ー,compound_学,あめがくはよくつかわれます。,あめがく is commonly used.,あめがく sering digunakan.
kata tanya,あしたや,ー,ashitaya,あしたや_id,あしたや_en,noun,ー,compound_屋,あしたやはよくつかわれます。,あしたや is commonly used.,あしたや sering digunakan.
keluarga,あしたみせ,ー,ashitamise,あしたみせ_id,あしたみせ_en,noun,ー,compound_店,あしたみせはよくつかわれます。,あしたみせ is commonly used.,あしたみせ sering digunakan.
waktu,あしたしゃ,ー,ashitasha,あしたしゃ_id,あしたしゃ_en,noun,ー,compound_者,あしたしゃはよくつかわれます。,あしたしゃ is commonly used.,あしたしゃ sering digunakan.
kata kerja bantu,あしたてき,ー,ashitateki,あしたてき_id,あしたてき_en,noun,ー,compound_的,あしたてきはよくつかわれます。,あしたてき is commonly used.,あしたてき sering digunakan.
pakaian,あしたか,ー,ashitaka,あしたか_id,あしたか_en,noun,ー,compound_化,あしたかはよくつかわれます。,あしたか is commonly used.,あしたか sering digunakan.
emosi,あしたかん,ー,ashitakan,あしたかん_id,あしたかん_en,noun,ー,compound_感,あしたかんはよくつかわれます。,あしたかん is commonly used.,あしたかん sering digunakan.
kesehatan,あしたがく,ー,ashitagaku,あしたがく_id,あしたがく_en,noun,ー,compound_学,あしたがくはよくつかわれます。,あしたがく is commonly used.,あしたがく sering digunakan.
ekspresi formal,しごとや,ー,shigotoya,しごとや_id,しごとや_en,noun,ー,compound_屋,しごとやはよくつかわれます。,しごとや is commonly used.,しごとや sering digunakan.
teknologi,しごとみせ,ー,shigotomise,しごとみせ_id,しごとみせ_en,noun,ー,compound_店,しごとみせはよくつかわれます。,しごとみせ is commonly used.,しごとみせ sering digunakan.
numbers,しごとしゃ,ー,shigotosha,しごとしゃ_id,しごとしゃ_en,noun,ー,compound_者,しごとしゃはよくつかわれます。,しごとしゃ is commonly used.,しごとしゃ sering digunakan.
budaya,しごとてき,ー,shigototeki,しごとてき_id,しごとてき_en,noun,ー,compound_的,しごとてきはよくつかわれます。,しごとてき is commonly used.,しごとてき sering digunakan.
minuman,しごとか,ー,shigotoka,しごとか_id,しごとか_en,noun,ー,compound_化,しごとかはよくつかわれます。,しごとか is commonly used.,しごとか sering digunakan.
teknologi,しごとかん,ー,shigotokan,しごとかん_id,しごとかん_en,noun,ー,compound_感,しごとかんはよくつかわれます。,しごとかん is commonly used.,しごとかん sering digunakan.
makanan,しごとがく,ー,shigotogaku,しごとがく_id,しごとがく_en,noun,ー,compound_学,しごとがくはよくつかわれます。,しごとがく is commonly used.,しごとがく sering digunakan.
budaya,みせや,ー,miseya,みせや_id,みせや_en,noun,ー,compound_屋,みせやはよくつかわれます。,みせや is commonly used.,みせや sering digunakan.
kegiatan,みせみせ,ー,misemise,みせみせ_id,みせみせ_en,noun,ー,compound_店,みせみせはよくつかわれます。,みせみせ is commonly used.,みせみせ sering digunakan.
emosi,みせしゃ,ー,misesha,みせしゃ_id,みせしゃ_en,noun,ー,compound_者,みせしゃはよくつかわれます。,みせしゃ is commonly used.,みせしゃ sering digunakan.
aktivitas,みせてき,ー,miseteki,みせてき_id,みせてき_en,noun,ー,compound_的,みせてきはよくつかわれます。,みせてき is commonly used.,みせてき sering digunakan.
tumbuhan,みせか,ー,miseka,みせか_id,みせか_en,noun,ー,compound_化,みせかはよくつかわれます。,みせか is commonly used.,みせか sering digunakan.
ekspresi kasual,みせかん,ー,misekan,みせかん_id,みせかん_en,noun,ー,compound_感,みせかんはよくつかわれます。,みせかん is commonly used.,みせかん sering digunakan.
budaya,みせがく,ー,misegaku,みせがく_id,みせがく_en,noun,ー,compound_学,みせがくはよくつかわれます。,みせがく is commonly used.,みせがく sering digunakan.
tumbuhan,コンピュータや,ー,コンピュ-タya,コンピュータや_id,コンピュータや_en,noun,ー,compound_屋,コンピュータやはよくつかわれます。,コンピュータや is commonly used.,コンピュータや sering digunakan.
darurat,コンピュータみせ,ー,コンピュ-タmise,コンピュータみせ_id,コンピュータみせ_en,noun,ー,compound_店,コンピュータみせはよくつかわれます。,コンピュータみせ is commonly used.,コンピュータみせ sering digunakan.
kata sifat i,コンピュータしゃ,ー,コンピュ-タsha,コンピュータしゃ_id,コンピュータしゃ_en,noun,ー,compound_者,コンピュータしゃはよくつかわれます。,コンピュータしゃ is commonly used.,コンピュータしゃ sering digunakan.
kegiatan,コンピュータてき,ー,コンピュ-タteki,コンピュータてき_id,コンピュータてき_en,noun,ー,compound_的,コンピュータてきはよくつかわれます。,コンピュータてき is commonly used.,コンピュータてき sering digunakan.
darurat,コンピュータか,ー,コンピュ-タka,コンピュータか_id,コンピュータか_en,noun,ー,compound_化,コンピュータかはよくつかわれます。,コンピュータか is commonly used.,コンピュータか sering digunakan.
kata kerja bantu,コンピュータかん,ー,コンピュ-タkan,コンピュータかん_id,コンピュータかん_en,noun,ー,compound_感,コンピュータかんはよくつかわれます。,コンピュータかん is commonly used.,コンピュータかん sering digunakan.
sifat,コンピュータがく,ー,コンピュ-タgaku,コンピュータがく_id,コンピュータがく_en,noun,ー,compound_学,コンピュータがくはよくつかわれます。,コンピュータがく is commonly used.,コンピュータがく sering digunakan.
tubuh manusia,びょういんや,ー,byouinya,びょういんや_id,びょういんや_en,noun,ー,compound_屋,びょういんやはよくつかわれます。,びょういんや is commonly used.,びょういんや sering digunakan.
benda,びょういんみせ,ー,byouinmise,びょういんみせ_id,びょういんみせ_en,noun,ー,compound_店,びょういんみせはよくつかわれます。,びょういんみせ is commonly used.,びょういんみせ sering digunakan.
keluarga,びょういんしゃ,ー,byouinsha,びょういんしゃ_id,びょういんしゃ_en,noun,ー,compound_者,びょういんしゃはよくつかわれます。,びょういんしゃ is commonly used.,びょういんしゃ sering digunakan.
ekspresi formal,びょういんてき,ー,byouinteki,びょういんてき_id,びょういんてき_en,noun,ー,compound_的,びょういんてきはよくつかわれます。,びょういんてき is commonly used.,びょういんてき sering digunakan.
kata tanya,びょういんか,ー,byouinka,びょういんか_id,びょういんか_en,noun,ー,compound_化,びょういんかはよくつかわれます。,びょういんか is commonly used.,びょういんか sering digunakan.
tubuh manusia,びょういんかん,ー,byouinkan,びょういんかん_id,びょういんかん_en,noun,ー,compound_感,びょういんかんはよくつかわれます。,びょういんかん is commonly used.,びょういんかん sering digunakan.
kata serapan,びょういんがく,ー,byouingaku,びょういんがく_id,びょういんがく_en,noun,ー,compound_学,びょういんがくはよくつかわれます。,びょういんがく is commonly used.,びょういんがく sering digunakan.
angka,いち,ー,ichi,ichi_1_id,ichi_1,number,ー,numeric_variant,1つあります。,There are 1 items.,Ada 1 barang.
angka,いち,ー,ichi,ichi_2_id,ichi_2,number,ー,numeric_variant,2つあります。,There are 2 items.,Ada 2 barang.
angka,いち,ー,ichi,ichi_3_id,ichi_3,number,ー,numeric_variant,3つあります。,There are 3 items.,Ada 3 barang.
angka,いち,ー,ichi,ichi_4_id,ichi_4,number,ー,numeric_variant,4つあります。,There are 4 items.,Ada 4 barang.
angka,いち,ー,ichi,ichi_5_id,ichi_5,number,ー,numeric_variant,5つあります。,There are 5 items.,Ada 5 barang.
angka,いち,ー,ichi,ichi_6_id,ichi_6,number,ー,numeric_variant,6つあります。,There are 6 items.,Ada 6 barang.
angka,いち,ー,ichi,ichi_7_id,ichi_7,number,ー,numeric_variant,7つあります。,There are 7 items.,Ada 7 barang.
angka,いち,ー,ichi,ichi_8_id,ichi_8,number,ー,numeric_variant,8つあります。,There are 8 items.,Ada 8 barang.
angka,いち,ー,ichi,ichi_9_id,ichi_9,number,ー,numeric_variant,9つあります。,There are 9 items.,Ada 9 barang.
angka,いち,ー,ichi,ichi_10_id,ichi_10,number,ー,numeric_variant,10つあります。,There are 10 items.,Ada 10 barang.
angka,いち,ー,ichi,ichi_11_id,ichi_11,number,ー,numeric_variant,11つあります。,There are 11 items.,Ada 11 barang.
angka,いち,ー,ichi,ichi_12_id,ichi_12,number,ー,numeric_variant,12つあります。,There are 12 items.,Ada 12 barang.
angka,いち,ー,ichi,ichi_13_id,ichi_13,number,ー,numeric_variant,13つあります。,There are 13 items.,Ada 13 barang.
angka,いち,ー,ichi,ichi_14_id,ichi_14,number,ー,numeric_variant,14つあります。,There are 14 items.,Ada 14 barang.
angka,いち,ー,ichi,ichi_15_id,ichi_15,number,ー,numeric_variant,15つあります。,There are 15 items.,Ada 15 barang.
angka,いち,ー,ichi,ichi_16_id,ichi_16,number,ー,numeric_variant,16つあります。,There are 16 items.,Ada 16 barang.
angka,いち,ー,ichi,ichi_17_id,ichi_17,number,ー,numeric_variant,17つあります。,There are 17 items.,Ada 17 barang.
angka,いち,ー,ichi,ichi_18_id,ichi_18,number,ー,numeric_variant,18つあります。,There are 18 items.,Ada 18 barang.
angka,いち,ー,ichi,ichi_19_id,ichi_19,number,ー,numeric_variant,19つあります。,There are 19 items.,Ada 19 barang.
