kategori,hiragana,katakana,romaji,arti,tipe,catatan
"frase,verbphrase,variasi,variasi",ねこをあます（れい20132）（れい21407）,,neko o arimasu-20132-21407,ada (benda) (sopan) kucing (var-20132) (var-21407),phrase,auto-pad
"keluarga,frase,like,variasi,variasi,variasi",おかあさんがすきです（れい20034）（れい24826）（れい26523）,,okaasan ga suki desu-20034-24826-26523,suka ibu (sopan) (var-20034) (var-24826) (var-26523),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",あにをある（れい20215）（れい22417）（れい23340）（れい23779）,,ani o aru-20215-22417-23340-23779,ada (benda) kakak laki-laki (saya) (var-20215) (var-22417) (var-23340) (var-23779),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",じてんしゃをいます（れい20037）（れい20203）（れい28622）,,jitensha o imasu-20037-20203-28622,ada (makhluk hidup) (sopan) sepeda (var-20037) (var-20203) (var-28622),phrase,auto-pad
"frase,verbphrase,variasi",だいどころをはなす（れい20001）,,daidokoro o hanasu-20001,berbicara dapur (var-20001),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",がっこうをよむ（れい20579）（れい21154）（れい25387）（れい27907）,,gakkou o yomu-20579-21154-25387-27907,membaca sekolah (var-20579) (var-21154) (var-25387) (var-27907),phrase,auto-pad
"frase,verbphrase,variasi",だいどころをかく（れい22030）,,daidokoro o kaku-22030,menulis dapur (var-22030),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ははをのむ（れい21136）（れい22106）（れい22484）,,haha o nomu-21136-22106-22484,minum ibu (saya) (var-21136) (var-22106) (var-22484),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いすをよむます（れい21347）（れい21736）（れい24510）,,isu o yomimasu-21347-21736-24510,membaca (sopan) kursi (var-21347) (var-21736) (var-24510),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",コーヒーをする（れい21383）（れい25538）（れい27822）（れい27899）（れい28540）,,koohii o suru-21383-25538-27822-27899-28540,melakukan kopi (var-21383) (var-25538) (var-27822) (var-27899) (var-28540),phrase,auto-pad
"frase,verbphrase,variasi",えいがをおきます（れい21832）,,eiga o okimasu-21832,bangun (sopan) film (var-21832),phrase,auto-pad
"frase,verbphrase",ねこをねます,,neko o nemasu,tidur (sopan) kucing,phrase,
"frase,verbphrase,variasi,variasi,variasi",がっこうをあます（れい20842）（れい23190）（れい23849）,,gakkou o arimasu-20842-23190-23849,ada (benda) (sopan) sekolah (var-20842) (var-23190) (var-23849),phrase,auto-pad
"frase,verbphrase,variasi",じてんしゃをみます（れい22283）,,jitensha o mimasu-22283,melihat (sopan) sepeda (var-22283),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi",ねこのあし（れい20416）（れい21527）（れい26947）,,neko no ashi-20416-21527-26947,kucing dari kaki (var-20416) (var-21527) (var-26947),compound,auto-pad
"frase,verbphrase,variasi",あにをたべます（れい22131）,,ani o tabemasu-22131,makan (sopan) kakak laki-laki (saya) (var-22131),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi",くるまのえいが（れい20110）（れい22880）（れい25101）,,kuruma no eiga-20110-22880-25101,mobil dari film (var-20110) (var-22880) (var-25101),compound,auto-pad
"frase,verbphrase,variasi",いすをいる（れい20887）,,isu o iru-20887,ada (makhluk hidup) kursi (var-20887),phrase,auto-pad
"frase,verbphrase,variasi,variasi",てをあます（れい20091）（れい20397）,,te o arimasu-20091-20397,ada (benda) (sopan) tangan (var-20091) (var-20397),phrase,auto-pad
"frase,verbphrase",くるまをきく,,kuruma o kiku,mendengar mobil,phrase,
"frase,verbphrase,variasi,variasi,variasi",バスをいる（れい20106）（れい21276）（れい22489）,,basu o iru-20106-21276-22489,ada (makhluk hidup) bus (var-20106) (var-21276) (var-22489),phrase,auto-pad
"frase,verbphrase,variasi,variasi",えいがをはなすます（れい21005）（れい22052）,,eiga o hanasimasu-21005-22052,berbicara (sopan) film (var-21005) (var-22052),phrase,auto-pad
"frase,verbphrase",あにをきくます,,ani o kikimasu,mendengar (sopan) kakak laki-laki (saya),phrase,
"frase,verbphrase,variasi",つくえをねる（れい21156）,,tsukue o neru-21156,tidur meja (var-21156),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",ほんをくる（れい20411）（れい23171）（れい25039）（れい25329）（れい25807）,,hon o kuru-20411-23171-25039-25329-25807,datang buku (var-20411) (var-23171) (var-25039) (var-25329) (var-25807),phrase,auto-pad
"angka,variasi,variasi,variasi",よん（れい20276）（れい20295）（れい26404）,,yon-20276-20295-26404,empat (var-20276) (var-20295) (var-26404),number,auto-pad
"frase,verbphrase,variasi,variasi",パンをきく（れい20074）（れい20705）,,pan o kiku-20074-20705,mendengar roti (var-20074) (var-20705),phrase,auto-pad
"frase,verbphrase,variasi",バスをはなすます（れい20288）,,basu o hanasimasu-20288,berbicara (sopan) bus (var-20288),phrase,auto-pad
"frase,verbphrase,variasi,variasi",あたまをのむ（れい26738）（れい26813）,,atama o nomu-26738-26813,minum kepala (var-26738) (var-26813),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ねこをすます（れい20105）（れい21448）（れい24778）,,neko o shimasu-20105-21448-24778,melakukan (sopan) kucing (var-20105) (var-21448) (var-24778),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi",てをします（れい20934）（れい28911）,,te o shimasu-20934-28911,melakukan tangan (var-20934) (var-28911),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いすをあます（れい20467）（れい21031）（れい27323）,,isu o arimasu-20467-21031-27323,ada (benda) (sopan) kursi (var-20467) (var-21031) (var-27323),phrase,auto-pad
"frase,verbphrase,variasi",ごはんをかくます（れい22421）,,gohan o kakimasu-22421,menulis (sopan) nasi (var-22421),phrase,auto-pad
"frase,verbphrase,variasi,variasi",つくえをすます（れい21401）（れい22642）,,tsukue o shimasu-21401-22642,melakukan (sopan) meja (var-21401) (var-22642),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi,variasi",へやのつくえ（れい20197）（れい21026）（れい23578）（れい24534）,,heya no tsukue-20197-21026-23578-24534,kamar dari meja (var-20197) (var-21026) (var-23578) (var-24534),compound,auto-pad
"kata benda,benda",くるま,,kuruma,mobil,noun,
"frase,verbphrase,variasi",おとうさんをはなすます（れい21403）,,otousan o hanasimasu-21403,berbicara (sopan) ayah (sopan) (var-21403),phrase,auto-pad
"frase,verbphrase,variasi",でんしゃをかくます（れい22678）,,densha o kakimasu-22678,menulis (sopan) kereta (var-22678),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi",くるまのえいが（れい20110）（れい22985）,,kuruma no eiga-20110-22985,mobil dari film (var-20110) (var-22985),compound,auto-pad
"frase,verbphrase,variasi,variasi,variasi",あしをねます（れい20427）（れい20516）（れい24483）,,ashi o nemasu-20427-20516-24483,tidur (sopan) kaki (var-20427) (var-20516) (var-24483),phrase,auto-pad
"frase,verbphrase",あにをくる,,ani o kuru,datang kakak laki-laki (saya),phrase,
"frase,verbphrase,variasi,variasi",ははをねます（れい20434）（れい22552）,,haha o nemasu-20434-22552,tidur (sopan) ibu (saya) (var-20434) (var-22552),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ほんをねます（れい24620）（れい25917）,,hon o nemasu-24620-25917,tidur (sopan) buku (var-24620) (var-25917),phrase,auto-pad
"kata benda,benda,frase,do,variasi",パンをします（れい20804）,,pan o shimasu-20804,melakukan roti (var-20804),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi,variasi",ごはんをします（れい20781）（れい20904）（れい22591）,,gohan o shimasu-20781-20904-22591,melakukan nasi (var-20781) (var-20904) (var-22591),phrase,auto-pad
"frase,verbphrase,variasi,variasi",じてんしゃをたべる（れい20005）（れい21780）,,jitensha o taberu-20005-21780,makan sepeda (var-20005) (var-21780),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",コーヒーをきくます（れい20086）（れい20711）（れい22784）（れい24063）,,koohii o kikimasu-20086-20711-22784-24063,mendengar (sopan) kopi (var-20086) (var-20711) (var-22784) (var-24063),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",てをみます（れい20630）（れい21106）（れい21451）,,te o mimasu-20630-21106-21451,melihat (sopan) tangan (var-20630) (var-21106) (var-21451),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi,variasi",へやのつくえ（れい20197）（れい21026）（れい22356）（れい23298）,,heya no tsukue-20197-21026-22356-23298,kamar dari meja (var-20197) (var-21026) (var-22356) (var-23298),compound,auto-pad
"frase,verbphrase,variasi",ねこをたべます（れい24219）,,neko o tabemasu-24219,makan (sopan) kucing (var-24219),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi,variasi",スマホをします（れい21854）（れい23202）（れい25461）,,sumaho o shimasu-21854-23202-25461,melakukan smartphone (var-21854) (var-23202) (var-25461),phrase,auto-pad
"frase,verbphrase,variasi,variasi",つくえをいます（れい23148）（れい23452）,,tsukue o imasu-23148-23452,ada (makhluk hidup) (sopan) meja (var-23148) (var-23452),phrase,auto-pad
"frase,verbphrase,variasi,variasi",えいがをみます（れい21124）（れい23367）,,eiga o mimasu-21124-23367,melihat (sopan) film (var-21124) (var-23367),phrase,auto-pad
"frase,verbphrase,variasi,variasi",てをのむます（れい20623）（れい24106）,,te o nomimasu-20623-24106,minum (sopan) tangan (var-20623) (var-24106),phrase,auto-pad
"frase,verbphrase,variasi,variasi",へやをかく（れい20532）（れい23548）,,heya o kaku-20532-23548,menulis kamar (var-20532) (var-23548),phrase,auto-pad
"frase,verbphrase",ははをいく,,haha o iku,pergi ibu (saya),phrase,
"kata kerja,verb,variasi",いる（れい21745）,,iru-21745,ada (makhluk hidup) (var-21745),verb (dictionary),auto-pad
"frase,verbphrase,variasi,variasi",えいがをおきる（れい25180）（れい25945）,,eiga o okiru-25180-25945,bangun film (var-25180) (var-25945),phrase,auto-pad
"frase,verbphrase,variasi",ごはんをみる（れい25767）,,gohan o miru-25767,melihat nasi (var-25767),phrase,auto-pad
"frase,verbphrase,variasi",コーヒーをのむます（れい20275）,,koohii o nomimasu-20275,minum (sopan) kopi (var-20275),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",でんしゃをいる（れい21488）（れい23253）（れい25729）,,densha o iru-21488-23253-25729,ada (makhluk hidup) kereta (var-21488) (var-23253) (var-25729),phrase,auto-pad
keluarga,いもうと,,imouto,adik perempuan,noun,
"keluarga,frase,do,variasi,variasi",あにをします（れい20093）（れい21052）,,ani o shimasu-20093-21052,melakukan kakak laki-laki (saya) (var-20093) (var-21052),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",つくえをきく（れい20932）（れい23729）（れい25196）,,tsukue o kiku-20932-23729-25196,mendengar meja (var-20932) (var-23729) (var-25196),phrase,auto-pad
"keluarga,komposit,variasi",ははのおねえさん（れい23465）,,haha no oneesan-23465,ibu (saya) dari kakak perempuan (sopan) (var-23465),compound,auto-pad
"kata kerja,verb,variasi",いる（れい20041）,,iru-20041,ada (makhluk hidup) (var-20041),verb (dictionary),auto-pad
"keluarga,komposit,variasi,variasi",いもうとのだいどころ（れい20114）（れい22686）,,imouto no daidokoro-20114-22686,adik perempuan dari dapur (var-20114) (var-22686),compound,auto-pad
"frase,verbphrase,variasi,variasi",いぬをはなす（れい20087）（れい24563）,,inu o hanasu-20087-24563,berbicara anjing (var-20087) (var-24563),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ねこをくます（れい26290）（れい28011）,,neko o kimasu-26290-28011,datang (sopan) kucing (var-26290) (var-28011),phrase,auto-pad
"frase,verbphrase,variasi",バスをたべる（れい23627）,,basu o taberu-23627,makan bus (var-23627),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",てをのむ（れい20251）（れい21097）（れい27708）,,te o nomu-20251-21097-27708,minum tangan (var-20251) (var-21097) (var-27708),phrase,auto-pad
"frase,verbphrase,variasi",みずをすます（れい28722）,,mizu o shimasu-28722,melakukan (sopan) air (var-28722),phrase,auto-pad
"frase,verbphrase,variasi",つくえをいくます（れい20097）,,tsukue o ikimasu-20097,pergi (sopan) meja (var-20097),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ほんをいます（れい20954）（れい28257）,,hon o imasu-20954-28257,ada (makhluk hidup) (sopan) buku (var-20954) (var-28257),phrase,auto-pad
"frase,verbphrase,variasi",じてんしゃをおきる（れい21715）,,jitensha o okiru-21715,bangun sepeda (var-21715),phrase,auto-pad
"frase,verbphrase",でんしゃをかく,,densha o kaku,menulis kereta,phrase,
"frase,verbphrase,variasi,variasi",おとうさんをいく（れい20505）（れい20734）,,otousan o iku-20505-20734,pergi ayah (sopan) (var-20505) (var-20734),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いもうとをみます（れい20013）（れい23931）（れい28297）,,imouto o mimasu-20013-23931-28297,melihat (sopan) adik perempuan (var-20013) (var-23931) (var-28297),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",でんしゃをはなす（れい21773）（れい22797）（れい23207）（れい25678）（れい26773）,,densha o hanasu-21773-22797-23207-25678-26773,berbicara kereta (var-21773) (var-22797) (var-23207) (var-25678) (var-26773),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",じてんしゃをのむます（れい20502）（れい21476）（れい21814）（れい21977）（れい22312）（れい24577）,,jitensha o nomimasu-20502-21476-21814-21977-22312-24577,minum (sopan) sepeda (var-20502) (var-21476) (var-21814) (var-21977) (var-22312) (var-24577),phrase,auto-pad
"frase,verbphrase,variasi,variasi",いぬをすます（れい21130）（れい21420）,,inu o shimasu-21130-21420,melakukan (sopan) anjing (var-21130) (var-21420),phrase,auto-pad
"frase,verbphrase,variasi",バスをある（れい20531）,,basu o aru-20531,ada (benda) bus (var-20531),phrase,auto-pad
"frase,verbphrase,variasi",みずをみる（れい21879）,,mizu o miru-21879,melihat air (var-21879),phrase,auto-pad
"kata kerja,verb,variasi",くる（れい22803）,,kuru-22803,datang (var-22803),verb (dictionary),auto-pad
"frase,verbphrase,variasi",おんがくをはなすます（れい20181）,,ongaku o hanasimasu-20181,berbicara (sopan) musik (var-20181),phrase,auto-pad
"frase,verbphrase,variasi,variasi",あにをする（れい21424）（れい26989）,,ani o suru-21424-26989,melakukan kakak laki-laki (saya) (var-21424) (var-26989),phrase,auto-pad
"keluarga,frase,like,variasi,variasi,variasi",おかあさんがすきです（れい20350）（れい21535）（れい22434）,,okaasan ga suki desu-20350-21535-22434,suka ibu (sopan) (var-20350) (var-21535) (var-22434),phrase,auto-pad
"frase,verbphrase,variasi",おかあさんをある（れい20421）,,okaasan o aru-20421,ada (benda) ibu (sopan) (var-20421),phrase,auto-pad
"frase,verbphrase,variasi,variasi",じてんしゃをくます（れい26752）（れい28459）,,jitensha o kimasu-26752-28459,datang (sopan) sepeda (var-26752) (var-28459),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",パンをおきる（れい20085）（れい21223）（れい27422）,,pan o okiru-20085-21223-27422,bangun roti (var-20085) (var-21223) (var-27422),phrase,auto-pad
"frase,verbphrase,variasi,variasi",てをいく（れい21152）（れい22015）,,te o iku-21152-22015,pergi tangan (var-21152) (var-22015),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",つくえをよむます（れい20830）（れい21961）（れい22589）（れい25340）,,tsukue o yomimasu-20830-21961-22589-25340,membaca (sopan) meja (var-20830) (var-21961) (var-22589) (var-25340),phrase,auto-pad
"frase,verbphrase,variasi",がっこうをはなす（れい22760）,,gakkou o hanasu-22760,berbicara sekolah (var-22760),phrase,auto-pad
"keluarga,pertanyaan,variasi,variasi",いもうとはどこですか（れい20987）（れい27908）,,imouto wa doko desu ka-20987-27908,Di mana adik perempuan? (var-20987) (var-27908),question,auto-pad
"kata kerja,verb",きく,,kiku,mendengar,verb (dictionary),
"frase,verbphrase,variasi",あにをはなす（れい22538）,,ani o hanasu-22538,berbicara kakak laki-laki (saya) (var-22538),phrase,auto-pad
"frase,verbphrase,variasi",えいがをかく（れい22269）,,eiga o kaku-22269,menulis film (var-22269),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",スマホをいます（れい20413）（れい21178）（れい25436）,,sumaho o imasu-20413-21178-25436,ada (makhluk hidup) (sopan) smartphone (var-20413) (var-21178) (var-25436),phrase,auto-pad
"angka,variasi,variasi",はち（れい20223）（れい28016）,,hachi-20223-28016,delapan (var-20223) (var-28016),number,auto-pad
"keluarga,komposit,variasi,variasi,variasi",いもうとのだいどころ（れい20114）（れい22686）（れい24054）,,imouto no daidokoro-20114-22686-24054,adik perempuan dari dapur (var-20114) (var-22686) (var-24054),compound,auto-pad
"frase,verbphrase,variasi,variasi",えいがをみます（れい21124）（れい24343）,,eiga o mimasu-21124-24343,melihat (sopan) film (var-21124) (var-24343),phrase,auto-pad
"frase,verbphrase",ごはんをねます,,gohan o nemasu,tidur (sopan) nasi,phrase,
"frase,verbphrase",あしをみます,,ashi o mimasu,melihat (sopan) kaki,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",スマホをいます（れい20413）（れい20665）（れい20709）（れい21498）（れい22735）（れい23062）,,sumaho o imasu-20413-20665-20709-21498-22735-23062,ada (makhluk hidup) (sopan) smartphone (var-20413) (var-20665) (var-20709) (var-21498) (var-22735) (var-23062),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ごはんをよむます（れい23038）（れい27561）,,gohan o yomimasu-23038-27561,membaca (sopan) nasi (var-23038) (var-27561),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",つくえをすます（れい21401）（れい25216）（れい27038）,,tsukue o shimasu-21401-25216-27038,melakukan (sopan) meja (var-21401) (var-25216) (var-27038),phrase,auto-pad
"frase,verbphrase,variasi",おんがくをきくます（れい22716）,,ongaku o kikimasu-22716,mendengar (sopan) musik (var-22716),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ねこをきく（れい20692）（れい21281）（れい22303）（れい23890）,,neko o kiku-20692-21281-22303-23890,mendengar kucing (var-20692) (var-21281) (var-22303) (var-23890),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",がっこうをくます（れい20175）（れい20401）（れい20628）（れい24412）,,gakkou o kimasu-20175-20401-20628-24412,datang (sopan) sekolah (var-20175) (var-20401) (var-20628) (var-24412),phrase,auto-pad
"frase,verbphrase,variasi,variasi",へやをたべます（れい20326）（れい20748）,,heya o tabemasu-20326-20748,makan (sopan) kamar (var-20326) (var-20748),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi",てのちち（れい20131）（れい20716）,,te no chichi-20131-20716,tangan dari ayah (saya) (var-20131) (var-20716),compound,auto-pad
"frase,verbphrase,variasi",パンをあます（れい22738）,,pan o arimasu-22738,ada (benda) (sopan) roti (var-22738),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",じてんしゃをおきます（れい20222）（れい20580）（れい22649）（れい24449）,,jitensha o okimasu-20222-20580-22649-24449,bangun (sopan) sepeda (var-20222) (var-20580) (var-22649) (var-24449),phrase,auto-pad
"frase,verbphrase,variasi,variasi",スマホをはなすます（れい20723）（れい22567）,,sumaho o hanasimasu-20723-22567,berbicara (sopan) smartphone (var-20723) (var-22567),phrase,auto-pad
"frase,verbphrase,variasi",おんがくをいる（れい26165）,,ongaku o iru-26165,ada (makhluk hidup) musik (var-26165),phrase,auto-pad
"kata benda,benda,variasi,variasi",コーヒー（れい20162）（れい20529）,コーヒー,koohii-20162-20529,kopi (var-20162) (var-20529),noun,auto-pad
"frase,verbphrase,variasi,variasi,variasi",だいどころをみます（れい21307）（れい22671）（れい26156）,,daidokoro o mimasu-21307-22671-26156,melihat (sopan) dapur (var-21307) (var-22671) (var-26156),phrase,auto-pad
"frase,verbphrase",パンをあます,,pan o arimasu,ada (benda) (sopan) roti,phrase,
"frase,verbphrase",いすをすます,,isu o shimasu,melakukan (sopan) kursi,phrase,
"kata benda,benda,frase,do,variasi,variasi",つくえをします（れい20683）（れい21741）,,tsukue o shimasu-20683-21741,melakukan meja (var-20683) (var-21741),phrase,auto-pad
"kata benda,benda,frase,do,variasi",あたまをします（れい26153）,,atama o shimasu-26153,melakukan kepala (var-26153),phrase,auto-pad
"frase,verbphrase,variasi",スマホをいくます（れい20643）,,sumaho o ikimasu-20643,pergi (sopan) smartphone (var-20643),phrase,auto-pad
"kata benda,benda,pertanyaan,variasi",いすはどこですか（れい21957）,,isu wa doko desu ka-21957,Di mana kursi? (var-21957),question,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いぬをはなすます（れい21197）（れい21283）（れい22239）,,inu o hanasimasu-21197-21283-22239,berbicara (sopan) anjing (var-21197) (var-21283) (var-22239),phrase,auto-pad
"frase,verbphrase,variasi",いもうとをよむます（れい21687）,,imouto o yomimasu-21687,membaca (sopan) adik perempuan (var-21687),phrase,auto-pad
"partikel,grammar,variasi",は（れい25824）,,wa-25824,partikel topik (var-25824),particle,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",へやをはなす（れい20193）（れい21298）（れい21921）（れい24753）（れい27110）,,heya o hanasu-20193-21298-21921-24753-27110,berbicara kamar (var-20193) (var-21298) (var-21921) (var-24753) (var-27110),phrase,auto-pad
"frase,verbphrase",がっこうをあます,,gakkou o arimasu,ada (benda) (sopan) sekolah,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi",ねこをかく（れい20023）（れい21461）（れい21822）（れい24040）,,neko o kaku-20023-21461-21822-24040,menulis kucing (var-20023) (var-21461) (var-21822) (var-24040),phrase,auto-pad
"frase,verbphrase",ねこをある,,neko o aru,ada (benda) kucing,phrase,
"kata benda,benda,variasi",ごはん（れい28557）,,gohan-28557,nasi (var-28557),noun,auto-pad
"frase,verbphrase,variasi",パンをよむます（れい25074）,,pan o yomimasu-25074,membaca (sopan) roti (var-25074),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ほんをいくます（れい21946）（れい23877）,,hon o ikimasu-21946-23877,pergi (sopan) buku (var-21946) (var-23877),phrase,auto-pad
"angka,variasi,variasi,variasi",じゅう（れい22062）（れい23397）（れい23634）,,juu-22062-23397-23634,sepuluh (var-22062) (var-23397) (var-23634),number,auto-pad
"frase,verbphrase,variasi",みずをいます（れい20195）,,mizu o imasu-20195,ada (makhluk hidup) (sopan) air (var-20195),phrase,auto-pad
"frase,verbphrase,variasi,variasi",あしをのむます（れい20068）（れい23697）,,ashi o nomimasu-20068-23697,minum (sopan) kaki (var-20068) (var-23697),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",あたまをおきます（れい20183）（れい22386）（れい22660）（れい23077）,,atama o okimasu-20183-22386-22660-23077,bangun (sopan) kepala (var-20183) (var-22386) (var-22660) (var-23077),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",いもうとをのむます（れい21002）（れい23006）（れい26112）（れい28759）,,imouto o nomimasu-21002-23006-26112-28759,minum (sopan) adik perempuan (var-21002) (var-23006) (var-26112) (var-28759),phrase,auto-pad
"frase,verbphrase,variasi",くるまをねます（れい23768）,,kuruma o nemasu-23768,tidur (sopan) mobil (var-23768),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ちちをあます（れい21816）（れい22547）（れい26119）,,chichi o arimasu-21816-22547-26119,ada (benda) (sopan) ayah (saya) (var-21816) (var-22547) (var-26119),phrase,auto-pad
