kategori,jepang,romaji,arti,tipe,catatan
angka,に（れい3504）（れい1534）（れい6772）（れい8222）（れい9882）,ni-3504-1534-6772-8222-9882,dua (var-3504) (var-1534) (var-6772) (var-8222) (var-9882),angka,auto-var
frase,たのしいをします（れい4611）（れい3060）（れい9701）（れい5844）（れい1349）,tanoshii o shimasu-4611-3060-9701-5844-1349,Melakukan menyenangkan (var-4611) (var-3060) (var-9701) (var-5844) (var-1349),frase,auto-var
sekolah,せんせい（れい3697）（れい2312）（れい7865）（れい9945）,sensei-3697-2312-7865-9945,guru (var-3697) (var-2312) (var-7865) (var-9945),kata benda,auto-var
frase,おんがくをします（れい8573）（れい2290）（れい1117）（れい7070）（れい9589）（れい4618）（れい7237）,ongaku o shimasu-8573-2290-1117-7070-9589-4618-7237,Melakukan musik (var-8573) (var-2290) (var-1117) (var-7070) (var-9589) (var-4618) (var-7237),frase,auto-var
keluarga,ちち（れい6514）（れい3287）（れい2982）（れい2771）（れい8749）,chichi-6514-3287-2982-2771-8749,ayah (saya) (var-6514) (var-3287) (var-2982) (var-2771) (var-8749),kata benda,auto-var
hobi,えいが（れい4582）（れい1711）（れい3266）（れい6753）（れい5000）,eiga-4582-1711-3266-6753-5000,film (var-4582) (var-1711) (var-3266) (var-6753) (var-5000),kata benda,auto-var
sekolah,せんせい（れい5371）（れい5092）（れい4824）（れい1962）,sensei-5371-5092-4824-1962,guru (var-5371) (var-5092) (var-4824) (var-1962),kata benda,auto-var
frase,ちちがすきです（れい1750）（れい1993）（れい8043）（れい8648）（れい1251）（れい9275）（れい1654）,chichi ga suki desu-1750-1993-8043-8648-1251-9275-1654,Saya suka ayah (saya) (var-1750) (var-1993) (var-8043) (var-8648) (var-1251) (var-9275) (var-1654),frase,auto-var
frase,せんせいをみます（れい4657）（れい6881）,sensei o mimasu-4657-6881,Menonton guru (var-4657) (var-6881),frase,auto-var
hobi,えいが（れい7118）（れい1822）（れい5941）（れい2940）（れい9167）（れい7333）（れい3717）,eiga-7118-1822-5941-2940-9167-7333-3717,film (var-7118) (var-1822) (var-5941) (var-2940) (var-9167) (var-7333) (var-3717),kata benda,auto-var
perkenalan,こんにちは（れい4257）（れい5386）（れい3504）（れい7484）（れい5198）（れい7770）（れい9998）,konnichiwa-4257-5386-3504-7484-5198-7770-9998,halo (var-4257) (var-5386) (var-3504) (var-7484) (var-5198) (var-7770) (var-9998),ungkapan,auto-var
frase,いえにいきます（れい7912）（れい7267）（れい8136）（れい3485）（れい4750）（れい2180）,ie ni ikimasu-7912-7267-8136-3485-4750-2180,Pergi ke rumah (var-7912) (var-7267) (var-8136) (var-3485) (var-4750) (var-2180),frase,auto-var
frase,せんせいをみます（れい1409）（れい5272）（れい1423）（れい2494）（れい6113）（れい5747）,sensei o mimasu-1409-5272-1423-2494-6113-5747,Menonton guru (var-1409) (var-5272) (var-1423) (var-2494) (var-6113) (var-5747),frase,auto-var
frase,おんがくをします（れい3803）（れい5905）（れい6700）（れい5295）（れい2140）（れい8113）,ongaku o shimasu-3803-5905-6700-5295-2140-8113,Melakukan musik (var-3803) (var-5905) (var-6700) (var-5295) (var-2140) (var-8113),frase,auto-var
hobi,えいが（れい7118）（れい4770）（れい4872）（れい2127）（れい5002）（れい4595）,eiga-7118-4770-4872-2127-5002-4595,film (var-7118) (var-4770) (var-4872) (var-2127) (var-5002) (var-4595),kata benda,auto-var
sekolah,がっこう（れい3286）（れい5915）（れい1757）（れい6962）,gakkou-3286-5915-1757-6962,sekolah (var-3286) (var-5915) (var-1757) (var-6962),kata benda,auto-var
rumah_harian,いえ（れい9431）（れい8043）（れい6161）,ie-9431-8043-6161,rumah (var-9431) (var-8043) (var-6161),kata benda,auto-var
sekolah,がっこう（れい7691）（れい2746）（れい4321）（れい1620）,gakkou-7691-2746-4321-1620,sekolah (var-7691) (var-2746) (var-4321) (var-1620),kata benda,auto-var
hobi,えいが（れい7118）（れい1822）（れい5941）（れい2108）（れい3007）（れい4858）,eiga-7118-1822-5941-2108-3007-4858,film (var-7118) (var-1822) (var-5941) (var-2108) (var-3007) (var-4858),kata benda,auto-var
sekolah,せんせい（れい3697）（れい7930）（れい7256）（れい5366）（れい1011）,sensei-3697-7930-7256-5366-1011,guru (var-3697) (var-7930) (var-7256) (var-5366) (var-1011),kata benda,auto-var
angka,に（れい3504）（れい3103）（れい3705）（れい7678）（れい9355）（れい3735）,ni-3504-3103-3705-7678-9355-3735,dua (var-3504) (var-3103) (var-3705) (var-7678) (var-9355) (var-3735),angka,auto-var
frase,いえにいきます（れい7924）（れい6820）（れい3340）（れい9797）（れい6138）（れい2891）（れい4443）（れい8827）（れい4920）（れい9221）,ie ni ikimasu-7924-6820-3340-9797-6138-2891-4443-8827-4920-9221,Pergi ke rumah (var-7924) (var-6820) (var-3340) (var-9797) (var-6138) (var-2891) (var-4443) (var-8827) (var-4920) (var-9221),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい1916）（れい7252）（れい2143）（れい8264）（れい4674）（れい5640）,tanoshii-2424-1520-5552-1916-7252-2143-8264-4674-5640,menyenangkan (var-2424) (var-1520) (var-5552) (var-1916) (var-7252) (var-2143) (var-8264) (var-4674) (var-5640),kata sifat,auto-var
frase,ほんにいきます（れい3664）（れい9689）（れい4923）（れい6559）（れい5331）（れい3692）（れい8620）,hon ni ikimasu-3664-9689-4923-6559-5331-3692-8620,Pergi ke buku (var-3664) (var-9689) (var-4923) (var-6559) (var-5331) (var-3692) (var-8620),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい1916）（れい7252）（れい2353）（れい7839）,tanoshii-2424-1520-5552-1916-7252-2353-7839,menyenangkan (var-2424) (var-1520) (var-5552) (var-1916) (var-7252) (var-2353) (var-7839),kata sifat,auto-var
frase,えいががすきです（れい2489）（れい4258）（れい4588）（れい7475）（れい7442）（れい6094）（れい7105）（れい1193）,eiga ga suki desu-2489-4258-4588-7475-7442-6094-7105-1193,Saya suka film (var-2489) (var-4258) (var-4588) (var-7475) (var-7442) (var-6094) (var-7105) (var-1193),frase,auto-var
hobi,えいが（れい7118）（れい4770）（れい3584）（れい7594）（れい1588）（れい1742）（れい9409）,eiga-7118-4770-3584-7594-1588-1742-9409,film (var-7118) (var-4770) (var-3584) (var-7594) (var-1588) (var-1742) (var-9409),kata benda,auto-var
frase,せんせいをみます（れい1409）,sensei o mimasu-1409,Menonton guru (var-1409),frase,auto-var
hobi,えいが（れい4582）（れい3677）（れい9595）（れい2562）（れい2481）（れい3420）,eiga-4582-3677-9595-2562-2481-3420,film (var-4582) (var-3677) (var-9595) (var-2562) (var-2481) (var-3420),kata benda,auto-var
sekolah,がっこう（れい3286）（れい5915）（れい1058）（れい8251）（れい9337）（れい5106）（れい3471）,gakkou-3286-5915-1058-8251-9337-5106-3471,sekolah (var-3286) (var-5915) (var-1058) (var-8251) (var-9337) (var-5106) (var-3471),kata benda,auto-var
frase,たべますがすきです（れい1158）（れい1320）（れい8285）（れい5670）,tabemasu ga suki desu-1158-1320-8285-5670,Saya suka makan (sopan) (var-1158) (var-1320) (var-8285) (var-5670),frase,auto-var
perkenalan,こんにちは（れい7807）（れい9281）,konnichiwa-7807-9281,halo (var-7807) (var-9281),ungkapan,auto-var
sekolah,がっこう（れい3286）（れい5915）（れい2876）（れい2458）（れい5178）,gakkou-3286-5915-2876-2458-5178,sekolah (var-3286) (var-5915) (var-2876) (var-2458) (var-5178),kata benda,auto-var
frase,せんせいをみます（れい1409）（れい4566）（れい5105）（れい4511）,sensei o mimasu-1409-4566-5105-4511,Menonton guru (var-1409) (var-4566) (var-5105) (var-4511),frase,auto-var
angka,いち（れい1359）（れい8032）,ichi-1359-8032,satu (var-1359) (var-8032),angka,auto-var
frase,いえにいきます（れい7924）（れい6820）（れい3340）（れい9817）（れい6978）,ie ni ikimasu-7924-6820-3340-9817-6978,Pergi ke rumah (var-7924) (var-6820) (var-3340) (var-9817) (var-6978),frase,auto-var
frase,たべますがすきです（れい2049）（れい2389）（れい6733）,tabemasu ga suki desu-2049-2389-6733,Saya suka makan (sopan) (var-2049) (var-2389) (var-6733),frase,auto-var
kata kerja,たべる（れい9518）（れい6344）（れい7565）（れい7732）,taberu-9518-6344-7565-7732,makan (var-9518) (var-6344) (var-7565) (var-7732),kata kerja,auto-var
frase,ちちがすきです（れい1750）（れい1993）（れい8043）（れい4919）（れい2163）,chichi ga suki desu-1750-1993-8043-4919-2163,Saya suka ayah (saya) (var-1750) (var-1993) (var-8043) (var-4919) (var-2163),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9201）（れい1964）（れい4652）（れい3068）,tanoshii-2424-1520-5552-2584-9201-1964-4652-3068,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9201) (var-1964) (var-4652) (var-3068),kata sifat,auto-var
sekolah,せんせい（れい5012）（れい7916）（れい1651）（れい1753）,sensei-5012-7916-1651-1753,guru (var-5012) (var-7916) (var-1651) (var-1753),kata benda,auto-var
perkenalan,はじめまして（れい1053）（れい5186）（れい5833）,hajimemashite-1053-5186-5833,senang bertemu denganmu (var-1053) (var-5186) (var-5833),ungkapan,auto-var
keluarga,ちち（れい6514）（れい3287）（れい3608）（れい5758）（れい9882）（れい7493）,chichi-6514-3287-3608-5758-9882-7493,ayah (saya) (var-6514) (var-3287) (var-3608) (var-5758) (var-9882) (var-7493),kata benda,auto-var
keluarga,おとうさん（れい4263）,otousan-4263,ayah (sopan) (var-4263),kata benda,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい2697）（れい2889）（れい7797）（れい8504）（れい7105）,ie ni ikimasu-5374-8579-7615-2697-2889-7797-8504-7105,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-2697) (var-2889) (var-7797) (var-8504) (var-7105),frase,auto-var
ungkapan,ありがとうございます（れい4527）（れい4114）（れい9991）（れい4471）,arigatou gozaimasu-4527-4114-9991-4471,terima kasih (sopan) (var-4527) (var-4114) (var-9991) (var-4471),ungkapan,auto-var
frase,いえにいきます（れい7924）（れい6820）（れい3340）（れい9797）（れい4910）（れい4908）（れい2264）,ie ni ikimasu-7924-6820-3340-9797-4910-4908-2264,Pergi ke rumah (var-7924) (var-6820) (var-3340) (var-9797) (var-4910) (var-4908) (var-2264),frase,auto-var
kata kerja,たべる（れい2291）（れい9042）（れい9312）（れい5315）,taberu-2291-9042-9312-5315,makan (var-2291) (var-9042) (var-9312) (var-5315),kata kerja,auto-var
frase,ほんにいきます（れい3664）（れい5304）（れい4467）（れい9872）（れい5520）,hon ni ikimasu-3664-5304-4467-9872-5520,Pergi ke buku (var-3664) (var-5304) (var-4467) (var-9872) (var-5520),frase,auto-var
hobi,えいが（れい7118）（れい1822）（れい5941）（れい2940）（れい9167）（れい4743）（れい8772）（れい8359）,eiga-7118-1822-5941-2940-9167-4743-8772-8359,film (var-7118) (var-1822) (var-5941) (var-2940) (var-9167) (var-4743) (var-8772) (var-8359),kata benda,auto-var
ungkapan,ありがとうございます（れい6977）（れい6482）,arigatou gozaimasu-6977-6482,terima kasih (sopan) (var-6977) (var-6482),ungkapan,auto-var
frase,えいががすきです（れい1434）（れい3547）（れい9939）（れい8418）,eiga ga suki desu-1434-3547-9939-8418,Saya suka film (var-1434) (var-3547) (var-9939) (var-8418),frase,auto-var
frase,おんがくをします（れい8573）（れい6491）（れい3847）（れい1339）（れい4090）（れい1042）,ongaku o shimasu-8573-6491-3847-1339-4090-1042,Melakukan musik (var-8573) (var-6491) (var-3847) (var-1339) (var-4090) (var-1042),frase,auto-var
sekolah,せんせい（れい5012）（れい8359）（れい5557）（れい6183）（れい6067）（れい6632）（れい9452）（れい6489）（れい7941）,sensei-5012-8359-5557-6183-6067-6632-9452-6489-7941,guru (var-5012) (var-8359) (var-5557) (var-6183) (var-6067) (var-6632) (var-9452) (var-6489) (var-7941),kata benda,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい4593）（れい4295）（れい7528）（れい3588）（れい6582）（れい3356）,tanoshii-2424-1520-5552-2584-4593-4295-7528-3588-6582-3356,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-4593) (var-4295) (var-7528) (var-3588) (var-6582) (var-3356),kata sifat,auto-var
sekolah,せんせい（れい5012）（れい4483）（れい9786）,sensei-5012-4483-9786,guru (var-5012) (var-4483) (var-9786),kata benda,auto-var
sekolah,がっこう（れい3286）（れい8381）（れい4335）（れい7338）（れい3858）（れい7609）,gakkou-3286-8381-4335-7338-3858-7609,sekolah (var-3286) (var-8381) (var-4335) (var-7338) (var-3858) (var-7609),kata benda,auto-var
frase,ちちがすきです（れい4733）（れい7049）（れい3184）（れい6238）,chichi ga suki desu-4733-7049-3184-6238,Saya suka ayah (saya) (var-4733) (var-7049) (var-3184) (var-6238),frase,auto-var
sekolah,せんせい（れい3697）（れい7930）（れい2188）（れい8119）,sensei-3697-7930-2188-8119,guru (var-3697) (var-7930) (var-2188) (var-8119),kata benda,auto-var
angka,に（れい3504）（れい3103）（れい3705）（れい7678）（れい7622）（れい6568）（れい8692）,ni-3504-3103-3705-7678-7622-6568-8692,dua (var-3504) (var-3103) (var-3705) (var-7678) (var-7622) (var-6568) (var-8692),angka,auto-var
angka,いち（れい1128）（れい9214）（れい8625）（れい9285）（れい7108）（れい2381）,ichi-1128-9214-8625-9285-7108-2381,satu (var-1128) (var-9214) (var-8625) (var-9285) (var-7108) (var-2381),angka,auto-var
frase,たべますがすきです（れい2139）（れい7227）（れい6313）（れい8123）（れい3144）（れい2288）（れい2029）（れい9537）,tabemasu ga suki desu-2139-7227-6313-8123-3144-2288-2029-9537,Saya suka makan (sopan) (var-2139) (var-7227) (var-6313) (var-8123) (var-3144) (var-2288) (var-2029) (var-9537),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい1916）（れい7252）（れい2143）（れい8264）（れい4674）（れい3878）（れい1323）（れい3579）,tanoshii-2424-1520-5552-1916-7252-2143-8264-4674-3878-1323-3579,menyenangkan (var-2424) (var-1520) (var-5552) (var-1916) (var-7252) (var-2143) (var-8264) (var-4674) (var-3878) (var-1323) (var-3579),kata sifat,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい8177）（れい3296）（れい2235）（れい8811）（れい5400）,ni o mimasu-6574-4752-2040-8177-3296-2235-8811-5400,Menonton dua (var-6574) (var-4752) (var-2040) (var-8177) (var-3296) (var-2235) (var-8811) (var-5400),frase,auto-var
angka,に（れい3504）（れい3103）（れい3705）（れい9499）（れい1691）（れい8719）,ni-3504-3103-3705-9499-1691-8719,dua (var-3504) (var-3103) (var-3705) (var-9499) (var-1691) (var-8719),angka,auto-var
frase,たべますがすきです（れい2139）（れい7227）（れい6313）（れい3627）,tabemasu ga suki desu-2139-7227-6313-3627,Saya suka makan (sopan) (var-2139) (var-7227) (var-6313) (var-3627),frase,auto-var
frase,せんせいをみます（れい4657）（れい6442）（れい1387）,sensei o mimasu-4657-6442-1387,Menonton guru (var-4657) (var-6442) (var-1387),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9201）（れい1672）（れい6062）（れい6488）,tanoshii-2424-1520-5552-2584-9201-1672-6062-6488,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9201) (var-1672) (var-6062) (var-6488),kata sifat,auto-var
sekolah,せんせい（れい5371）（れい4893）,sensei-5371-4893,guru (var-5371) (var-4893),kata benda,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい2697）（れい5479）（れい5678）（れい5744）,ie ni ikimasu-5374-8579-7615-2697-5479-5678-5744,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-2697) (var-5479) (var-5678) (var-5744),frase,auto-var
keluarga,おとうさん（れい2679）（れい4814）（れい5279）（れい4115）（れい3828）（れい4648）,otousan-2679-4814-5279-4115-3828-4648,ayah (sopan) (var-2679) (var-4814) (var-5279) (var-4115) (var-3828) (var-4648),kata benda,auto-var
perkenalan,こんにちは（れい4257）（れい5386）（れい3504）（れい7484）（れい5198）（れい5828）,konnichiwa-4257-5386-3504-7484-5198-5828,halo (var-4257) (var-5386) (var-3504) (var-7484) (var-5198) (var-5828),ungkapan,auto-var
benda,ほん（れい3532）（れい7965）,hon-3532-7965,buku (var-3532) (var-7965),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい2528）（れい8956）（れい6663）,sensei o mimasu-4657-6881-2528-8956-6663,Menonton guru (var-4657) (var-6881) (var-2528) (var-8956) (var-6663),frase,auto-var
kata kerja,たべます（れい8019）（れい4154）,tabemasu-8019-4154,makan (sopan) (var-8019) (var-4154),kata kerja (masu),auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい8177）（れい8724）,ni o mimasu-6574-4752-2040-8177-8724,Menonton dua (var-6574) (var-4752) (var-2040) (var-8177) (var-8724),frase,auto-var
kata sifat,たのしい（れい2424）（れい3646）（れい7396）（れい9821）（れい7883）（れい8451）,tanoshii-2424-3646-7396-9821-7883-8451,menyenangkan (var-2424) (var-3646) (var-7396) (var-9821) (var-7883) (var-8451),kata sifat,auto-var
frase,こんにちはをします（れい4954）（れい9987）,konnichiwa o shimasu-4954-9987,Melakukan halo (var-4954) (var-9987),frase,auto-var
angka,に（れい3927）（れい8633）（れい5676）,ni-3927-8633-5676,dua (var-3927) (var-8633) (var-5676),angka,auto-var
frase,ちちがすきです（れい4733）（れい7049）（れい3184）（れい6238）（れい5760）（れい3263）（れい6298）,chichi ga suki desu-4733-7049-3184-6238-5760-3263-6298,Saya suka ayah (saya) (var-4733) (var-7049) (var-3184) (var-6238) (var-5760) (var-3263) (var-6298),frase,auto-var
sekolah,せんせい（れい3697）（れい7930）（れい7256）（れい5366）,sensei-3697-7930-7256-5366,guru (var-3697) (var-7930) (var-7256) (var-5366),kata benda,auto-var
hobi,えいが（れい7118）（れい1822）（れい2612）（れい8433）（れい3730）（れい6682）（れい8460）,eiga-7118-1822-2612-8433-3730-6682-8460,film (var-7118) (var-1822) (var-2612) (var-8433) (var-3730) (var-6682) (var-8460),kata benda,auto-var
hobi,えいが（れい4582）（れい3677）（れい3442）（れい7248）（れい6248）,eiga-4582-3677-3442-7248-6248,film (var-4582) (var-3677) (var-3442) (var-7248) (var-6248),kata benda,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい1916）（れい7252）（れい2143）（れい8264）（れい4674）（れい5743）（れい1439）（れい9706）,tanoshii-2424-1520-5552-1916-7252-2143-8264-4674-5743-1439-9706,menyenangkan (var-2424) (var-1520) (var-5552) (var-1916) (var-7252) (var-2143) (var-8264) (var-4674) (var-5743) (var-1439) (var-9706),kata sifat,auto-var
keluarga,おとうさん（れい2679）（れい5339）（れい1406）（れい4050）,otousan-2679-5339-1406-4050,ayah (sopan) (var-2679) (var-5339) (var-1406) (var-4050),kata benda,auto-var
sekolah,せんせい（れい5012）（れい8359）（れい5557）（れい8843）（れい8389）,sensei-5012-8359-5557-8843-8389,guru (var-5012) (var-8359) (var-5557) (var-8843) (var-8389),kata benda,auto-var
keluarga,おとうさん（れい2679）（れい5339）（れい7717）,otousan-2679-5339-7717,ayah (sopan) (var-2679) (var-5339) (var-7717),kata benda,auto-var
hobi,えいが（れい7118）（れい4770）（れい3584）（れい7594）,eiga-7118-4770-3584-7594,film (var-7118) (var-4770) (var-3584) (var-7594),kata benda,auto-var
frase,たのしいをします（れい1841）（れい8195）（れい5496）（れい7266）,tanoshii o shimasu-1841-8195-5496-7266,Melakukan menyenangkan (var-1841) (var-8195) (var-5496) (var-7266),frase,auto-var
frase,ほんにいきます（れい3664）（れい4728）（れい2442）（れい3658）,hon ni ikimasu-3664-4728-2442-3658,Pergi ke buku (var-3664) (var-4728) (var-2442) (var-3658),frase,auto-var
frase,たのしいをします（れい4611）（れい3060）（れい5022）（れい8061）,tanoshii o shimasu-4611-3060-5022-8061,Melakukan menyenangkan (var-4611) (var-3060) (var-5022) (var-8061),frase,auto-var
sekolah,せんせい（れい5012）（れい4483）（れい5808）（れい8611）（れい3361）（れい6120）,sensei-5012-4483-5808-8611-3361-6120,guru (var-5012) (var-4483) (var-5808) (var-8611) (var-3361) (var-6120),kata benda,auto-var
frase,えいががすきです（れい1434）（れい3547）（れい6105）,eiga ga suki desu-1434-3547-6105,Saya suka film (var-1434) (var-3547) (var-6105),frase,auto-var
keluarga,ちち（れい6514）（れい3045）（れい6168）（れい7624）（れい9751）,chichi-6514-3045-6168-7624-9751,ayah (saya) (var-6514) (var-3045) (var-6168) (var-7624) (var-9751),kata benda,auto-var
kata kerja,たべる（れい2291）（れい9042）,taberu-2291-9042,makan (var-2291) (var-9042),kata kerja,auto-var
frase,ほんにいきます（れい4681）（れい8886）（れい1722）（れい4770）（れい7203）,hon ni ikimasu-4681-8886-1722-4770-7203,Pergi ke buku (var-4681) (var-8886) (var-1722) (var-4770) (var-7203),frase,auto-var
keluarga,ちち（れい6514）（れい3045）（れい1823）,chichi-6514-3045-1823,ayah (saya) (var-6514) (var-3045) (var-1823),kata benda,auto-var
frase,おんがくをします（れい8573）（れい2290）（れい1117）（れい7070）（れい9589）,ongaku o shimasu-8573-2290-1117-7070-9589,Melakukan musik (var-8573) (var-2290) (var-1117) (var-7070) (var-9589),frase,auto-var
hobi,えいが（れい4582）（れい1711）（れい3266）（れい6804）（れい9785）（れい6909）,eiga-4582-1711-3266-6804-9785-6909,film (var-4582) (var-1711) (var-3266) (var-6804) (var-9785) (var-6909),kata benda,auto-var
kata kerja,たべる（れい4750）（れい8953）（れい7888）（れい5843）（れい4590）（れい9664）,taberu-4750-8953-7888-5843-4590-9664,makan (var-4750) (var-8953) (var-7888) (var-5843) (var-4590) (var-9664),kata kerja,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい9856）（れい1444）（れい6511）（れい1449）（れい9873）,otousan-2679-1828-9856-1444-6511-1449-9873,ayah (sopan) (var-2679) (var-1828) (var-9856) (var-1444) (var-6511) (var-1449) (var-9873),kata benda,auto-var
frase,いえにいきます（れい7912）（れい3662）（れい6554）（れい6325）,ie ni ikimasu-7912-3662-6554-6325,Pergi ke rumah (var-7912) (var-3662) (var-6554) (var-6325),frase,auto-var
perkenalan,こんにちは（れい4257）（れい5386）（れい3504）（れい4613）（れい3068）（れい7272）（れい1981）,konnichiwa-4257-5386-3504-4613-3068-7272-1981,halo (var-4257) (var-5386) (var-3504) (var-4613) (var-3068) (var-7272) (var-1981),ungkapan,auto-var
frase,せんせいをみます（れい1409）（れい5422）（れい2084）（れい2403）（れい4346）（れい7302）（れい2657）（れい7227）,sensei o mimasu-1409-5422-2084-2403-4346-7302-2657-7227,Menonton guru (var-1409) (var-5422) (var-2084) (var-2403) (var-4346) (var-7302) (var-2657) (var-7227),frase,auto-var
frase,えいががすきです（れい1434）（れい3547）（れい2512）（れい6893）,eiga ga suki desu-1434-3547-2512-6893,Saya suka film (var-1434) (var-3547) (var-2512) (var-6893),frase,auto-var
frase,たべるをみます（れい4150）（れい7572）（れい6862）（れい2204）（れい5994）,taberu o mimasu-4150-7572-6862-2204-5994,Menonton makan (var-4150) (var-7572) (var-6862) (var-2204) (var-5994),frase,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい9479）（れい7669）（れい8213）,otousan-1488-3615-9479-7669-8213,ayah (sopan) (var-1488) (var-3615) (var-9479) (var-7669) (var-8213),kata benda,auto-var
rumah_harian,いえ（れい9935）（れい2169）（れい4367）,ie-9935-2169-4367,rumah (var-9935) (var-2169) (var-4367),kata benda,auto-var
keluarga,おとうさん（れい9646）（れい5087）（れい7196）,otousan-9646-5087-7196,ayah (sopan) (var-9646) (var-5087) (var-7196),kata benda,auto-var
frase,えいががすきです（れい6794）（れい8541）（れい1470）,eiga ga suki desu-6794-8541-1470,Saya suka film (var-6794) (var-8541) (var-1470),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい2200）（れい1420）（れい8179）,tanoshii-2424-1520-5552-2584-2200-1420-8179,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-2200) (var-1420) (var-8179),kata sifat,auto-var
angka,に（れい3504）（れい3103）（れい3705）（れい9880）,ni-3504-3103-3705-9880,dua (var-3504) (var-3103) (var-3705) (var-9880),angka,auto-var
sekolah,せんせい（れい5012）（れい8359）（れい5557）（れい1344）（れい6952）（れい9190）,sensei-5012-8359-5557-1344-6952-9190,guru (var-5012) (var-8359) (var-5557) (var-1344) (var-6952) (var-9190),kata benda,auto-var
frase,たべるをみます（れい4150）（れい7572）（れい9346）,taberu o mimasu-4150-7572-9346,Menonton makan (var-4150) (var-7572) (var-9346),frase,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい2519）（れい9348）（れい1200）（れい9246）,otousan-1488-3615-2519-9348-1200-9246,ayah (sopan) (var-1488) (var-3615) (var-2519) (var-9348) (var-1200) (var-9246),kata benda,auto-var
frase,たべるをみます,taberu o mimasu,Menonton makan,frase,
